id,manufacturer_id,name,isa,isa_version,isa_extensions,fp_pipestages,int_pipestages,max_uop_issued_per_cycle,ifu,lsfu,fpfu,tfu,max_inst_decoded,rob_size,iwindow,if_queue,bht_size,btb_size,bp_acc,arch_int_reg,arch_fp_reg,total_arch_reg,fp_coproc,out_of_order,memory_bw,integrated_mc,source,created_at,updated_at
53,9,P6:Yonah,x86-32,,SSE3,,12,5,,,,,3,80,24,,,,,,,,,t,,f,http://www.anandtech.com/show/1880,"2014-11-17 00:01:25.851567","2014-11-17 00:01:25.851567"
54,9,"Sandy Bridge",x86-64,,"SSE4.2 AVX",,,6,3,3,3,5,6,168,,,,,,,,,,t,,t,http://www.lostcircuits.com/mambo//index.php?option=com_content&task=view&id=98&Itemid=1,"2014-11-17 00:01:25.865587","2014-11-17 00:01:25.865587"
55,9,"80386 DX",x86-32,,,,,1,1,1,0,1,1,,,,,,,8,,8,80387,f,,f,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4089530,"2014-11-17 00:01:25.880718","2014-11-17 00:01:25.880718"
56,9,"80486 DX",x86-32,,,,5,1,1,1,1,2,1,,,,,,,8,8,,,f,,f,http://webcache.googleusercontent.com/search?q=cache:http://www.skepticfiles.org/cowtext/comput~1/486vs040.htm,"2014-11-17 00:01:25.894690","2014-11-17 00:01:25.894690"
57,17,R10000,,,,7,5,5,2,1,3,6,4,32,5,,512,512,,32,32,64,,t,3200,f,ftp://ftp.sgi.com/sgi/doc/R10000/Prod_Overview/R10000_Tech_Br.pdf,"2014-11-17 00:01:25.921650","2014-11-17 00:01:25.921650"
58,18,R12000,,,,8,6,5,2,1,3,6,4,48,5,,2048,2048,,32,32,64,,t,,f,http://studies.ac.upc.edu/ETSETB/SEGPAR/microprocessors/r12000%20(mpr).pdf,"2014-11-17 00:01:25.948854","2014-11-17 00:01:25.948854"
59,17,R2000,,,,,5,1,1,1,0,2,1,,,,,,,32,,32,R2020,f,,f,"http://en.wikipedia.org/wiki/R2000_(microprocessor) http://ece552.ece.wisc.edu/lec09_intro_superscalar.pdf http://www.doc.ic.ac.uk/lab/secondyear/spim/node9.html","2014-11-17 00:01:25.961973","2014-11-17 00:01:25.961973"
60,17,R3000,,,,,5,1,1,1,0,2,1,,,,,,,32,,32,R3010,f,,f,"http://en.wikipedia.org/wiki/R3000 http://psx.rules.org/system.txt","2014-11-17 00:01:25.976476","2014-11-17 00:01:25.976476"
61,17,R4000,,,,,8,1,1,1,3,5,1,,4,,,,,32,32,64,R4010,f,,f,"http://en.wikipedia.org/wiki/R4000 http://en.wikipedia.org/wiki/R4000","2014-11-17 00:01:25.991574","2014-11-17 00:01:25.991574"
62,17,R4600,,,,,5,1,1,1,1,3,1,,,,,,,32,32,64,,f,,f,"http://en.wikipedia.org/wiki/R4600 http://www.google.com/url?sa=t&source=web&cd=5&ved=0CC4QFjAE&url=http%3A%2F%2Fwww.sgistuff.net%2Fhardware%2Fother%2Fdocuments%2FR4600_Prod_OV.pdf&rct=j&q=IDT79R4600%20ORION%20Hardware%20User's%20Manual&ei=pjHPTK3rDoT0swPJmf3ZDg&usg=AFQjCNFOxn92VtlPCkaDwrDd_MhFgP58Pg","2014-11-17 00:01:26.004437","2014-11-17 00:01:26.004437"
63,17,R5000,,,,,5,2,1,1,1,3,2,,2,,,,,32,32,64,,f,,f,https://www.mips.com/media/files/archives/R5000ProductInformation.pdf,"2014-11-17 00:01:26.019080","2014-11-17 00:01:26.019080"
64,17,R8000,,,,,5,4,4,2,,6,4,,,,1024,,,32,32,64,R8010,,,,"http://www.sgistuff.net/hardware/other/documents/R8000_design.html http://www.linux-mips.org/pub/mips/docs/r8000/r8000-um.pdf","2014-11-17 00:01:26.032923","2014-11-17 00:01:26.032923"
65,10,68000,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:01:26.045417","2014-11-17 00:01:26.045417"
66,10,68010,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:01:26.057766","2014-11-17 00:01:26.057766"
67,10,68020,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:01:26.072577","2014-11-17 00:01:26.072577"
68,10,68030,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:01:26.087458","2014-11-17 00:01:26.087458"
69,10,68040,,,,6,6,1,1,1,1,2,1,,,,,,,,,,,,,,,"2014-11-17 00:01:26.101306","2014-11-17 00:01:26.101306"
70,10,68060,,,,9,9,2,2,2,1,3,2,,,,256,,,,,,,,,,,"2014-11-17 00:01:26.115408","2014-11-17 00:01:26.115408"
71,19,"SuperSPARC I",,,,4,4,3,3,1,1,5,3,,3,12,,12,,32,32,,,f,,f,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=00186699,"2014-11-17 00:01:26.140419","2014-11-17 00:01:26.140419"
72,19,"SuperSPARC II",,,,5,4,3,3,1,1,5,3,,3,12,,12,,32,32,,,f,,,http://www.comms.scitech.sussex.ac.uk/fft/programming/STP1021UG.pdf,"2014-11-17 00:01:26.154287","2014-11-17 00:01:26.154287"
73,19,UltraSPARC,,,,9,9,4,2,1,5,9,4,,4,12,2048,1024,,32,32,,,f,,,"http://en.wikipedia.org/wiki/UltraSPARC Robt. Yung ""Design Decisions Influencing the UltraSPARC's Instruction Fetch Architecture""","2014-11-17 00:01:26.167661","2014-11-17 00:01:26.167661"
74,19,"UltraSPARC II",,,,9,9,4,2,1,5,9,4,,4,12,2048,1024,,32,32,,,f,,,http://docs.sun.com/source/806-3568/ncg_sparc.html,"2014-11-17 00:01:26.180805","2014-11-17 00:01:26.180805"
75,19,"UltraSPARC III",,,,7,14,4,2,1,4,8,4,,6,20,16384,4,,32,32,0,,f,2400,,"http://en.wikipedia.org/wiki/UltraSPARC_III ""UltraSPARC III"" ppt slides","2014-11-17 00:01:26.194042","2014-11-17 00:01:26.194042"
76,19,"UltraSPARC T1",,,,7,6,1,,,,,1,,8,,,,,,,,,f,,,http://opensparc-t1.sunsource.net/specs/OpenSPARCT1_Micro_Arch.pdf,"2014-11-17 00:01:26.208790","2014-11-17 00:01:26.208790"
77,1,K75,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:01:47.863810","2014-11-17 00:01:47.863810"
78,2,SPARC,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:01:53.392846","2014-11-17 00:01:53.392846"
79,7,Power7,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:02:00.568220","2014-11-17 00:02:00.568220"
80,9,Bonnel,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:02:02.983377","2014-11-17 00:02:02.983377"
81,23,6502,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:02:16.279983","2014-11-17 00:02:16.279983"
82,23,6510,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:02:16.446496","2014-11-17 00:02:16.446496"
83,27,65C02,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:02:19.327507","2014-11-17 00:02:19.327507"
84,27,65816,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:02:19.461605","2014-11-17 00:02:19.461605"
85,28,WinChip,,,,,,,,,,,,,,,,,,,,,,,,,,"2014-11-17 00:02:19.548864","2014-11-17 00:02:19.548864"
