id,l1_unified,l1i,l1d,l2_shared,l2_shared_ncores,l3_shared,l3_shared_ncores,created_at,updated_at
124,,32,32,512,,,,"2014-11-17 00:02:16.017749","2014-11-17 00:02:16.017749"
125,,0,0,,,,,"2014-11-17 00:02:16.636331","2014-11-17 00:02:16.636331"
126,,8,0,,,,,"2014-11-17 00:02:17.009973","2014-11-17 00:02:17.009973"
127,,2,2,,,,,"2014-11-17 00:02:17.444594","2014-11-17 00:02:17.444594"
128,,20,16,,,,,"2014-11-17 00:02:17.593007","2014-11-17 00:02:17.593007"
129,,,,5120,,,,"2014-11-17 00:02:18.326053","2014-11-17 00:02:18.326053"
130,,32,64,1024,,,,"2014-11-17 00:02:18.907605","2014-11-17 00:02:18.907605"
131,,2,8,3072,,,,"2014-11-17 00:02:19.109343","2014-11-17 00:02:19.109343"
132,,2,8,4096,,,,"2014-11-17 00:02:19.173361","2014-11-17 00:02:19.173361"
133,,,,1022,2,,,"2014-11-17 00:02:19.248306","2014-11-17 00:02:19.248306"
134,,8,,,,,,"2014-11-17 00:02:19.747674","2014-11-17 00:02:19.747674"
135,,4,,,,,,"2014-11-17 00:02:19.797416","2014-11-17 00:02:19.797416"
136,,2,4,,,,,"2014-11-17 00:02:19.845044","2014-11-17 00:02:19.845044"
137,,,,30720,,,,"2014-11-17 00:02:27.626687","2014-11-17 00:02:27.626687"
138,,,,29184,,,,"2014-11-17 00:02:29.816333","2014-11-17 00:02:29.816333"
139,,,,31232,,,,"2014-11-17 00:02:29.878282","2014-11-17 00:02:29.878282"
