id,processor_id,created_at,updated_at,score,threads,thread_model,date,link
73,1147,"2014-11-17 00:08:22.513434","2014-11-17 00:08:22.513434",57163.27,8,PThreads,2010-05-13,http://www.coremark.org/benchmark/index.php
74,1280,"2014-11-17 00:08:22.538017","2014-11-17 00:08:22.538017",5722.01,1,,2010-04-21,http://www.coremark.org/benchmark/index.php
75,1280,"2014-11-17 00:08:22.560188","2014-11-17 00:08:22.560188",22739.02,4,PThreads,2010-04-21,http://www.coremark.org/benchmark/index.php
76,1280,"2014-11-17 00:08:22.580343","2014-11-17 00:08:22.580343",30291.56,8,PThreads,2010-04-21,http://www.coremark.org/benchmark/index.php
77,1050,"2014-11-17 00:08:22.600282","2014-11-17 00:08:22.600282",2806,4,DMULTITHREAD,2010-04-12,http://www.coremark.org/benchmark/index.php
78,1306,"2014-11-17 00:08:22.621253","2014-11-17 00:08:22.621253",8215,1,,2010-03-07,http://www.coremark.org/benchmark/index.php
79,1306,"2014-11-17 00:08:22.639857","2014-11-17 00:08:22.639857",15150,2,PThreads,2010-03-07,http://www.coremark.org/benchmark/index.php
80,1306,"2014-11-17 00:08:22.658317","2014-11-17 00:08:22.658317",31675,4,PThreads,2010-03-07,http://www.coremark.org/benchmark/index.php
81,1306,"2014-11-17 00:08:22.676992","2014-11-17 00:08:22.676992",37981,8,PThreads,2010-03-07,http://www.coremark.org/benchmark/index.php
82,1048,"2014-11-17 00:08:22.695474","2014-11-17 00:08:22.695474",4567.25,2,PThreads,2010-02-18,http://www.coremark.org/benchmark/index.php
83,1032,"2014-11-17 00:08:22.714097","2014-11-17 00:08:22.714097",1.7,1,,2009-10-14,http://www.coremark.org/benchmark/index.php
84,1165,"2014-11-17 00:08:22.735782","2014-11-17 00:08:22.735782",213.83,1,,2009-10-13,http://www.coremark.org/benchmark/index.php
85,1163,"2014-11-17 00:08:22.756351","2014-11-17 00:08:22.756351",8885.3,1,,2009-10-13,http://www.coremark.org/benchmark/index.php
86,1231,"2014-11-17 00:08:22.776739","2014-11-17 00:08:22.776739",1945.53,1,,2009-10-13,http://www.coremark.org/benchmark/index.php
87,1065,"2014-11-17 00:08:22.795011","2014-11-17 00:08:22.795011",7217.85,1,,2009-10-13,http://www.coremark.org/benchmark/index.php
88,1106,"2014-11-17 00:08:22.822092","2014-11-17 00:08:22.822092",39201.71,4,PThreads,2009-08-31,http://www.coremark.org/benchmark/index.php
89,1280,"2014-11-17 00:08:22.844632","2014-11-17 00:08:22.844632",5702.44,1,,2009-08-14,http://www.coremark.org/benchmark/index.php
90,1339,"2014-11-17 00:08:22.865286","2014-11-17 00:08:22.865286",10907.5,1,,2009-08-10,http://www.coremark.org/benchmark/index.php
91,1339,"2014-11-17 00:08:22.886659","2014-11-17 00:08:22.886659",84943.73,8,Fork,2009-08-10,http://www.coremark.org/benchmark/index.php
92,1339,"2014-11-17 00:08:22.907371","2014-11-17 00:08:22.907371",11623.85,1,,2009-08-10,http://www.coremark.org/benchmark/index.php
93,1339,"2014-11-17 00:08:22.926895","2014-11-17 00:08:22.926895",45664.71,4,Fork,2009-08-10,http://www.coremark.org/benchmark/index.php
94,1256,"2014-11-17 00:08:23.024763","2014-11-17 00:08:23.024763",11235.96,1,,2009-08-05,http://www.coremark.org/benchmark/index.php
95,1256,"2014-11-17 00:08:23.047133","2014-11-17 00:08:23.047133",7362.78,1,,2009-08-05,http://www.coremark.org/benchmark/index.php
96,1075,"2014-11-17 00:08:23.067124","2014-11-17 00:08:23.067124",14067.4,2,PThreads,2009-07-23,http://www.coremark.org/benchmark/index.php
97,1048,"2014-11-17 00:08:23.088165","2014-11-17 00:08:23.088165",4058.44,2,PThreads,2009-06-12,http://www.coremark.org/benchmark/index.php
98,1271,"2014-11-17 00:08:23.114675","2014-11-17 00:08:23.114675",5877.95,1,,2009-06-07,http://www.coremark.org/benchmark/index.php
99,1271,"2014-11-17 00:08:23.134249","2014-11-17 00:08:23.134249",11747.74,2,PThreads,2009-06-07,http://www.coremark.org/benchmark/index.php
100,1271,"2014-11-17 00:08:23.155197","2014-11-17 00:08:23.155197",23579.85,4,PThreads,2009-06-07,http://www.coremark.org/benchmark/index.php
101,1066,"2014-11-17 00:08:23.174492","2014-11-17 00:08:23.174492",9249,2,PThreads,2009-06-06,http://www.coremark.org/benchmark/index.php
102,1233,"2014-11-17 00:08:23.194457","2014-11-17 00:08:23.194457",5298,1,,2009-06-05,http://www.coremark.org/benchmark/index.php
103,1233,"2014-11-17 00:08:23.215923","2014-11-17 00:08:23.215923",6240,1,,2009-06-05,http://www.coremark.org/benchmark/index.php
104,1087,"2014-11-17 00:08:23.235016","2014-11-17 00:08:23.235016",7224.95,1,,2009-06-03,http://www.coremark.org/benchmark/index.php
105,1100,"2014-11-17 00:08:23.256728","2014-11-17 00:08:23.256728",3223.2,1,,2009-05-27,http://www.coremark.org/benchmark/index.php
